Signal Legend:

Key        Signal Name

0        = SW[9..0]
1        = KEY[3..0]
2        = KEY[3]
3        = KEY[2]
4        = KEY[1]
5        = KEY[0]
6        = X_reg[15..0]
7        = Y_reg[15..0]
8        = ALUout_wire[7..0]
9        = LEDR[9..0]
10       = GPIO[9..9]
11       = GPIO[9]

Data Table:

Signals-> 0    1  2 3 4 5 6     7     8   9    10 11 

sample

176       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
177       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
178       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
179       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
180       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
181       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
182       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
183       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
184       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
185       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
186       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
187       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
188       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
189       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
190       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
191       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
192       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
193       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
194       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
195       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
196       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
197       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
198       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
199       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
200       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
201       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
202       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
203       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
204       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
205       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
206       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
207       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
208       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
209       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
210       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
211       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
212       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
213       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
214       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
215       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
216       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
217       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
218       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
219       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
220       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
221       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
222       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
